#{"t_start": 1769179680.039594, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,56.397571
-50.0,50,56.713895
-50.0,50,57.029776
-50.0,50,57.341971
-50.0,50,57.67421
-50.0,50,57.989178
-50.0,50,58.303423
-50.0,50,58.61682
-43.0,50,58.970726
-50.0,50,59.289164
-50.0,50,59.602496
-50.0,50,59.92838
-48.0,50,60.27125
-50.0,50,60.592078
-50.0,50,60.909114
-50.0,50,61.229947
-50.0,50,61.586179
-50.0,50,61.909681
-50.0,50,62.230358
-50.0,50,62.54763
-50.0,50,62.896089
-50.0,50,63.226573
-50.0,50,63.554198
-50.0,50,63.883387
-48.0,50,64.251325
-50.0,50,64.583078
-50.0,50,64.911929
-50.0,50,65.232616
-50.0,50,65.573274
-50.0,50,65.892172
-50.0,50,66.209711
-50.0,50,66.524963
-50.0,50,66.876238
-50.0,50,67.198071
-50.0,50,67.51553
-50.0,50,67.83291
-33.0,50,68.176933
-50.0,50,68.49663
-49.0,50,68.814135
-47.0,50,69.131815
-50.0,50,69.483638
-50.0,50,69.806646
-50.0,50,70.137247
-50.0,50,70.464303
-50.0,50,70.80816
-50.0,50,71.135268
-49.0,50,71.455997
-50.0,50,71.775728
-50.0,50,72.131966
-50.0,50,72.453387
-50.0,50,72.775282
-49.0,50,73.095629
-50.0,50,73.438318
-50.0,50,73.765001
-45.0,50,74.092023
-50.0,50,74.416712
-50.0,50,74.793171
-50.0,50,75.138888
-50.0,50,75.464884
-49.0,50,75.789829
-50.0,50,76.13489
-50.0,50,76.454677
-49.0,50,76.772681
-50.0,50,77.088505
-50.0,50,77.439374
-50.0,50,77.758158
-49.0,50,78.073487
-50.0,50,78.387083
-50.0,50,78.724196
-50.0,50,79.059408
-50.0,50,79.394735
-50.0,50,79.716157
-50.0,50,80.082853
-50.0,50,80.41551
-50.0,50,80.737546
-50.0,50,81.058907
-9.0,50,81.408855
-50.0,50,81.731814
-14.0,50,82.052943
-50.0,50,82.374258
-50.0,50,82.737223
-50.0,50,83.063759
-50.0,50,83.384685
-45.0,50,83.706321
-50.0,50,84.0477
-50.0,50,84.376871
-50.0,50,84.699843
-50.0,50,85.022708
-50.0,50,85.378558
-38.0,50,85.706134
-50.0,50,86.027515
-50.0,50,86.34615
-50.0,50,86.68643
-47.0,50,87.009102
-50.0,50,87.328696
-50.0,50,87.646503
-50.0,50,87.997674
-37.0,50,88.317157
-50.0,50,88.634128
-50.0,50,88.952112
-50.0,50,89.28781
-41.0,50,89.618994
-50.0,50,89.94055
-50.0,50,90.27261
-50.0,50,90.631922
-50.0,50,90.967592
-50.0,50,91.297173
-50.0,50,91.624258
-50.0,50,91.985436
-50.0,50,92.315284
-42.0,50,92.645855
-50.0,50,92.97961
-38.0,50,93.334431
-48.0,50,93.666917
-50.0,50,93.996963
-50.0,50,94.331338
-50.0,50,94.705354
-50.0,50,95.041648
-50.0,50,95.372514
-50.0,50,95.698614
-50.0,50,96.050118
-50.0,50,96.381376
-50.0,50,96.722498
-50.0,50,97.042892
-50.0,50,97.407086
-50.0,50,97.740575
-39.0,50,98.061661
-50.0,50,98.387017
-50.0,50,98.727818
-50.0,50,99.05832
-50.0,50,99.376566
-50.0,50,99.701783
-50.0,50,100.059077
-50.0,50,100.39258
-50.0,50,100.713421
-50.0,50,101.042891
-46.0,50,101.394856
-50.0,50,101.71801
-50.0,50,102.043775
-50.0,50,102.36373
-50.0,50,102.720188
-50.0,50,103.046135
-50.0,50,103.364824
-31.0,50,103.686714
-50.0,50,104.037692
-38.0,50,104.371422
-50.0,50,104.693618
-50.0,50,105.021705
-50.0,50,105.367528
-50.0,50,105.686493
-50.0,50,106.00344
-3.0,50,106.31977
-24.0,50,106.661383
-50.0,50,106.981264
-50.0,50,107.297658
-50.0,50,107.615892
-50.0,50,107.960778
-50.0,50,108.276691
-50.0,50,108.59408
-50.0,50,108.915586
-50.0,50,109.267315
-50.0,50,109.592527
-50.0,50,109.911381
-50.0,50,110.23955
-50.0,50,110.593196
-50.0,50,110.920797
-50.0,50,111.239042
-50.0,50,111.559783
-50.0,50,111.91434
-50.0,50,112.244409
-50.0,50,112.579469
-9.0,50,112.910666
-50.0,50,113.260432
-50.0,50,113.59673
-50.0,50,113.925925
-50.0,50,114.255801
-50.0,50,114.630705
-50.0,50,114.965028
-50.0,50,115.304871
-47.0,50,115.627789
-50.0,50,115.976883
-50.0,50,116.301316
-50.0,50,116.626946
-36.0,50,116.94674
-50.0,50,117.29028
-50.0,50,117.616253
-50.0,50,117.935165
-33.0,50,118.254891
-49.0,50,118.613404
-19.0,50,118.93694
-48.0,50,119.253605
-46.0,50,119.576029
-50.0,50,119.919895
-50.0,50,120.247492
-50.0,50,120.570272
-50.0,50,120.888966
-46.0,50,121.235712
-44.0,50,121.565107
-50.0,50,121.889665
-50.0,50,122.211947
-50.0,50,122.570698
-50.0,50,122.893529
-2.0,50,123.211949
-50.0,50,123.528224
