#{"t_start": 1769333161.963008, "env_id": "FetchReachDense-v4"}
r,l,t
-10.546984,50,5.060137
-9.990298,50,5.182766
-14.130128,50,5.292176
-12.070576,50,5.402535
-6.369194,50,5.516703
-7.342558,50,5.630908
-9.783105,50,5.736048
-12.22676,50,5.846427
-7.735944,50,5.952151
-4.93094,50,6.055732
-8.083126,50,6.171395
-6.461463,50,6.285477
-11.291075,50,6.390219
-20.242656,50,6.494716
-13.610806,50,6.605256
-11.307113,50,6.71172
-17.208952,50,6.816862
-7.900123,50,6.92875
-11.664539,50,7.054329
-15.606825,50,7.159016
-9.960856,50,7.287823
-17.489033,50,7.390687
-7.531595,50,7.50145
-7.955935,50,7.606063
-8.985363,50,7.7685
-12.926011,50,7.95104
-8.78132,50,8.144171
-10.534483,50,8.323354
-13.381718,50,8.502215
-9.468126,50,8.660429
-11.727174,50,8.816913
-9.24133,50,8.990469
-7.36785,50,9.16674
-13.020807,50,9.354562
-6.193457,50,9.52701
-9.553396,50,9.701421
-9.194149,50,9.870291
-4.35819,50,10.035578
-12.285364,50,10.208395
-8.112869,50,10.375934
-18.529616,50,10.577816
-6.970296,50,10.759011
-6.805467,50,10.936821
-8.878518,50,11.121708
-23.945577,50,11.271564
-5.247645,50,11.378206
-13.50317,50,11.500795
-5.659754,50,11.604586
-7.77733,50,11.714476
-14.563025,50,11.833704
-7.568384,50,11.944101
-10.500484,50,12.048656
-10.812908,50,12.155837
-11.093935,50,12.272964
-11.844675,50,12.429964
-11.405542,50,12.550601
-13.863228,50,12.661993
-6.695783,50,12.773115
-9.162142,50,12.881741
-11.28793,50,12.987152
-9.785876,50,13.090627
-10.56104,50,13.203407
-10.595934,50,13.33293
-6.818743,50,13.439528
-8.196579,50,13.564008
-11.56213,50,13.686767
-4.635974,50,13.794912
-16.089148,50,13.900048
-10.3256,50,14.005936
-11.296378,50,14.116719
-10.895303,50,14.223865
-6.362529,50,14.332806
-7.246225,50,14.437348
-13.275448,50,14.549153
-11.510909,50,14.679947
-16.049416,50,14.791458
-14.670916,50,14.902129
-9.911919,50,15.009395
-8.736289,50,15.117494
-18.179283,50,15.224093
-11.109459,50,15.328173
-9.678595,50,15.432585
-10.750053,50,15.539759
-7.429598,50,15.658178
-5.461594,50,15.765897
-11.495266,50,15.878513
-13.048608,50,15.987534
-8.66652,50,16.08949
-11.579961,50,16.194533
-10.247247,50,16.30144
-6.931483,50,16.414662
-7.037445,50,16.523562
-7.204669,50,16.627069
-6.656224,50,16.748621
-13.358706,50,16.855505
-11.719025,50,16.964045
-9.553225,50,17.07239
-11.936204,50,17.184652
-8.102536,50,17.29587
-11.456035,50,17.402203
-14.638506,50,18.681803
-18.160085,50,19.126121
-16.796027,50,19.561816
-16.832717,50,20.028272
-10.017259,50,20.47991
-22.245986,50,20.94198
-11.244097,50,21.506334
-13.328305,50,22.131379
-12.434699,50,22.776569
-7.722402,50,23.418848
-4.491785,50,24.055103
-4.006842,50,24.623844
-6.475524,50,25.070819
-3.370191,50,25.527576
-1.691993,50,25.969695
-2.326715,50,26.418274
-3.355633,50,26.8547
-3.631117,50,27.303144
-2.412833,50,27.74867
-2.543353,50,28.204354
-2.333727,50,28.651175
-2.537523,50,29.092626
-2.366422,50,29.553907
-1.19598,50,29.995372
-2.142737,50,30.462012
-1.385469,50,30.908656
-2.174028,50,31.368798
-2.638865,50,31.810809
-1.592569,50,32.257075
-1.901918,50,32.71943
-1.98053,50,33.151789
-1.826424,50,33.601259
-0.924452,50,34.043875
-1.154354,50,34.559536
-2.370587,50,35.155232
-2.163238,50,35.778323
-1.518283,50,36.379714
-1.328999,50,36.992768
-1.778523,50,37.601872
-1.121706,50,38.061995
-1.055151,50,38.506107
-1.213349,50,38.956251
-1.482232,50,39.398116
-1.114716,50,39.840542
-0.925281,50,40.291694
-1.953643,50,40.741237
-2.341194,50,41.245174
-1.429461,50,41.702163
-1.372139,50,42.161684
-2.036584,50,42.639671
-1.658666,50,43.113004
-1.796987,50,43.577274
-2.753808,50,44.049302
-2.083809,50,44.494838
-2.039477,50,44.957157
-1.830614,50,45.419526
-1.071193,50,45.869212
-1.865648,50,46.341097
-1.637435,50,46.79226
-1.425012,50,47.256627
-1.387576,50,47.812378
-1.054052,50,48.430509
-1.277495,50,49.049214
-2.105406,50,49.677299
-1.285644,50,50.350647
-1.836157,50,50.90607
-2.235288,50,51.375185
-2.364322,50,51.830363
-1.221759,50,52.296245
-1.819057,50,52.763107
-1.381827,50,53.223651
-2.400009,50,53.686253
-2.073909,50,54.138269
-1.959124,50,54.619958
-2.528241,50,55.069098
-2.380798,50,55.525027
-1.847835,50,55.967107
-1.516914,50,56.407702
-2.421999,50,56.866303
-1.382803,50,57.304
-1.252852,50,57.755658
-2.566903,50,58.205118
-2.185973,50,58.652155
-2.535522,50,59.094912
-2.681181,50,59.551655
-1.694964,50,60.009509
-2.129548,50,60.466616
-2.708768,50,61.043156
-1.826338,50,61.661821
-2.242261,50,62.309861
-1.637379,50,63.285054
-1.511454,50,64.140551
-1.226079,50,64.589748
-1.573264,50,65.264039
-1.19686,50,65.764062
-1.46693,50,66.220552
-1.880353,50,66.668991
-2.12699,50,67.139213
-1.960226,50,67.583333
-1.159003,50,68.039022
-1.559913,50,68.479654
-1.428954,50,68.925842
-1.24975,50,69.394639
-1.963045,50,69.843693
-2.296845,50,70.324508
-1.988984,50,70.773941
-1.455456,50,71.597495
-1.131528,50,72.083143
-1.600933,50,72.555176
-1.2595,50,73.028234
-1.618187,50,73.484558
-1.311574,50,73.924691
-1.827262,50,74.532323
-1.913968,50,75.119241
-1.650201,50,75.737025
-1.724392,50,76.332392
-1.806863,50,76.98107
-1.57623,50,77.499665
-2.12057,50,77.94679
-1.738499,50,78.403421
-1.760025,50,78.846792
-1.609397,50,79.299056
-1.776924,50,79.746428
-1.891112,50,80.198993
-1.228255,50,80.661253
-1.725126,50,81.113441
-1.464659,50,81.568176
-1.17763,50,82.018375
-1.352266,50,82.473504
-1.519477,50,82.934841
-1.001066,50,83.376894
-0.81924,50,83.837215
-1.256283,50,84.2852
-1.10123,50,84.73498
-1.48223,50,85.171313
-0.948029,50,85.624993
-1.100706,50,86.079327
-1.090409,50,86.52621
-1.343718,50,86.971913
-1.134061,50,87.51551
-0.847054,50,88.112147
-1.397051,50,88.7455
-1.023707,50,89.338839
-0.740217,50,89.977692
-0.981602,50,90.530776
-1.113418,50,90.982229
-1.104517,50,91.420921
-1.521002,50,91.85978
-1.745921,50,92.338243
-0.89479,50,92.794028
-1.584827,50,93.277019
-0.772143,50,93.718286
-1.19747,50,94.180744
-1.113026,50,94.62889
-1.291182,50,95.102821
-1.28447,50,95.712255
-1.303555,50,96.395778
-1.008991,50,96.83468
-1.080194,50,97.297688
-1.136181,50,97.731438
-1.26953,50,98.210331
-0.866197,50,98.648391
-1.001859,50,99.092845
-1.082845,50,99.548276
-0.777795,50,99.988462
-1.001797,50,100.535995
-1.70652,50,101.184623
-1.027652,50,101.816938
-1.087578,50,102.420739
-1.070241,50,103.082315
-1.298766,50,103.742591
-1.20172,50,104.199494
-0.961961,50,104.665231
-1.031584,50,105.109066
-1.558094,50,105.575951
-1.427691,50,106.272853
-1.591036,50,106.861106
-1.211444,50,107.308565
-1.336055,50,107.770594
-1.352226,50,108.225897
-1.127811,50,108.685354
-1.007592,50,109.447505
-1.374721,50,109.954922
-1.260945,50,110.402802
-0.999579,50,110.849029
-1.361058,50,111.509135
-1.438827,50,112.20444
-1.174171,50,112.649591
