#{"t_start": 1769290910.9349973, "env_id": "FetchReachDense-v4"}
r,l,t
-13.095236,50,1.831547
-6.702158,50,2.005402
-5.629989,50,2.169473
-5.579159,50,2.351476
-10.729919,50,2.521937
-8.870729,50,2.693455
-16.677679,50,2.859337
-14.225293,50,3.023473
-9.40944,50,3.189878
-7.085909,50,3.389408
-5.432861,50,3.567017
-9.439836,50,3.745713
-5.83635,50,3.927279
-9.072015,50,4.042464
-7.329984,50,4.154274
-6.277498,50,4.277137
-8.576488,50,4.403537
-8.056588,50,4.511989
-11.362535,50,4.619568
-11.645507,50,4.7308
-13.276078,50,4.842345
-12.566371,50,4.954285
-5.194885,50,5.063448
-8.576473,50,5.170413
-4.279806,50,5.286314
-6.542979,50,5.411458
-9.175435,50,5.524187
-11.190763,50,5.632967
-5.373922,50,5.741143
-9.94962,50,5.851804
-8.833517,50,5.963739
-12.102839,50,6.069699
-13.164424,50,6.184762
-10.991297,50,6.298142
-8.881394,50,6.431499
-7.127094,50,6.54469
-12.994991,50,6.654443
-7.946548,50,6.766507
-11.046069,50,6.877985
-7.028625,50,6.992244
-10.768828,50,7.104647
-4.732268,50,7.220426
-11.663082,50,7.33298
-6.538863,50,7.447005
-16.21012,50,7.564212
-8.776841,50,7.673269
-10.317942,50,7.785925
-10.887883,50,7.893951
-13.474506,50,8.000464
-8.419103,50,8.113295
-7.138738,50,8.228591
-6.352422,50,8.340796
-8.103981,50,8.450724
-10.943608,50,8.573311
-10.032292,50,8.688173
-5.194109,50,8.797482
-8.792914,50,8.905947
-10.328853,50,9.018606
-10.207978,50,9.125955
-8.954239,50,9.239098
-8.150322,50,9.351634
-5.585074,50,9.462
-11.519566,50,9.590401
-6.310188,50,9.702598
-9.829854,50,9.814672
-4.074581,50,9.932479
-10.008409,50,10.039738
-12.053353,50,10.15048
-14.251933,50,10.265435
-9.315851,50,10.376347
-9.656205,50,10.497282
-10.909455,50,10.618301
-13.299973,50,10.728228
-10.741083,50,10.840625
-8.602602,50,10.960599
-8.649004,50,11.076035
-11.441752,50,11.192726
-9.187645,50,11.305799
-10.129086,50,11.423972
-10.805063,50,11.541869
-12.671211,50,11.668902
-7.719514,50,11.781654
-11.629097,50,11.898454
-9.500003,50,12.018117
-14.791015,50,12.129697
-4.585105,50,12.247238
-7.957942,50,12.365383
-12.500534,50,12.478431
-5.36628,50,12.590372
-8.399319,50,12.717772
-6.802262,50,12.838387
-4.729116,50,12.956284
-12.280867,50,13.065323
-8.61226,50,13.181129
-6.266462,50,13.295552
-14.727904,50,13.408061
-5.380128,50,13.516533
-10.25358,50,13.633744
-9.218691,50,13.760473
-11.352016,50,13.874748
-25.313343,50,14.795755
-11.303958,50,15.453312
-21.792191,50,16.104883
-15.036784,50,16.76179
-16.942461,50,17.372002
-13.263321,50,17.833944
-19.685829,50,18.31487
-6.645185,50,18.786017
-5.617145,50,19.249253
-16.247367,50,19.709757
-4.746483,50,20.167982
-5.613169,50,20.633092
-5.760938,50,21.149087
-4.319614,50,21.606261
-8.081103,50,22.06096
-5.626869,50,22.521175
-4.019829,50,22.996624
-3.913996,50,23.491382
-2.211589,50,23.938156
-2.70389,50,24.408277
-3.847962,50,24.881635
-3.927259,50,25.35737
-4.742251,50,25.805527
-1.61384,50,26.263216
-2.934592,50,26.720638
-2.300278,50,27.206135
-2.393594,50,27.853991
-2.638471,50,28.505032
-1.448135,50,29.122636
-2.521107,50,29.748685
-4.012801,50,30.387706
-2.313454,50,30.8502
-1.666248,50,31.314155
-4.419371,50,31.79047
-3.331036,50,32.252992
-2.437413,50,32.7222
-2.650544,50,33.172135
-1.55085,50,33.630354
-2.757949,50,34.079013
-2.881001,50,34.528594
-1.2995,50,34.993464
-2.230979,50,35.45461
-1.834923,50,35.926238
-2.544685,50,36.393738
-2.4208,50,36.882987
-1.040126,50,37.347457
-1.726075,50,37.808317
-3.336002,50,38.259244
-1.588021,50,38.729669
-2.105477,50,39.179508
-2.002844,50,39.63461
-1.728568,50,40.09149
-2.546515,50,40.680148
-2.580453,50,41.290101
-1.337973,50,41.941083
-1.747373,50,42.547266
-1.400217,50,43.195462
-2.661825,50,43.749786
-2.592168,50,44.218165
-1.594269,50,44.674395
-3.771518,50,45.147729
-2.229937,50,45.60779
-2.096641,50,46.059697
-2.192166,50,46.537891
-2.545559,50,46.989711
-1.669351,50,47.475444
-2.532379,50,47.935484
-2.154775,50,48.421429
-3.369929,50,48.894649
-1.688977,50,49.39503
-2.413919,50,49.856845
-1.925216,50,50.332225
-2.084046,50,50.79321
-2.265019,50,51.289607
-1.694822,50,51.748053
-1.047101,50,52.223357
-1.731117,50,52.699753
-1.52885,50,53.15663
-1.503958,50,53.749485
-0.872887,50,54.377418
-1.303437,50,55.035593
-1.78984,50,55.659063
-1.265162,50,56.315803
-1.538226,50,56.883348
-3.562289,50,57.339365
-1.93855,50,57.804578
-1.32145,50,58.260759
-1.421814,50,58.7307
-1.522659,50,59.192994
-2.557128,50,59.651846
-2.219942,50,60.100749
-1.741987,50,60.554475
-1.797695,50,61.021364
-2.148117,50,61.47187
-3.036547,50,61.931985
-1.743695,50,62.379485
-1.818666,50,62.845407
-2.067148,50,63.297187
-1.573657,50,63.739792
-1.565201,50,64.209876
-1.474738,50,64.664236
-2.331899,50,65.129983
-1.757021,50,65.593085
-0.832588,50,66.056224
-1.245788,50,66.519106
-1.856035,50,67.146083
-1.876189,50,67.744222
-1.55723,50,68.40045
-1.133513,50,69.011621
-1.24681,50,69.705639
