#{"t_start": 1769287855.2591848, "env_id": "FetchReachDense-v4"}
r,l,t
-8.01099,50,6.153982
-13.564336,50,6.272586
-4.883722,50,6.387163
-14.151727,50,6.499206
-13.708845,50,6.625648
-10.631089,50,6.749089
-6.772971,50,6.865767
-11.522284,50,6.979134
-12.187148,50,7.096237
-13.470265,50,7.212448
-6.78603,50,7.328944
-11.25061,50,7.440701
-9.23872,50,7.555029
-12.343985,50,7.673479
-14.777682,50,7.801994
-9.03433,50,7.919526
-6.882893,50,8.032671
-10.992754,50,8.144317
-6.665183,50,8.258282
-9.737457,50,8.366742
-12.417987,50,8.478239
-12.772767,50,8.597453
-6.895906,50,8.721085
-8.210356,50,8.840667
-5.074884,50,8.954179
-14.413981,50,9.063425
-10.894542,50,9.180291
-8.169878,50,9.302319
-9.862289,50,9.413954
-13.233304,50,9.52459
-9.533831,50,9.640803
-8.787854,50,9.758023
-11.885472,50,9.885026
-7.139397,50,9.999117
-15.962128,50,10.118273
-4.560607,50,10.240459
-13.731743,50,10.356137
-13.470798,50,10.472196
-9.840128,50,10.598999
-6.087658,50,10.716608
-12.667471,50,10.846895
-9.834984,50,10.960932
-15.200591,50,11.077064
-9.373142,50,11.194433
-11.054287,50,11.315032
-10.686643,50,11.43121
-6.875455,50,11.5467
-12.731522,50,11.666929
-6.212396,50,11.782056
-9.193303,50,11.921706
-7.309239,50,12.033173
-8.839652,50,12.144566
-12.342361,50,12.257677
-10.791118,50,12.371418
-9.245857,50,12.501597
-10.689015,50,12.634631
-8.682164,50,12.760412
-4.442476,50,12.917541
-13.179241,50,13.11738
-8.727605,50,13.303299
-6.206796,50,13.47354
-13.275591,50,13.654519
-15.395259,50,13.834107
-11.182309,50,14.011979
-11.711662,50,14.18781
-4.1074,50,14.375914
-13.029225,50,14.547508
-4.848956,50,14.716768
-8.76792,50,14.894215
-12.242864,50,15.087962
-10.855295,50,15.27235
-10.099763,50,15.452497
-9.174583,50,15.625577
-13.226,50,15.804953
-5.750327,50,15.985091
-6.995194,50,16.189377
-10.14074,50,16.379131
-7.026468,50,16.516205
-10.535561,50,16.630455
-11.217481,50,16.742809
-14.325824,50,16.860163
-11.79239,50,16.984496
-10.823719,50,17.111383
-7.581613,50,17.237406
-9.123246,50,17.354367
-9.641469,50,17.465251
-5.49478,50,17.583122
-12.840998,50,17.701258
-11.64606,50,17.817302
-12.531922,50,17.930907
-4.167986,50,18.050912
-15.440638,50,18.174448
-12.483211,50,18.299511
-7.953136,50,18.415345
-13.810233,50,18.538227
-10.780601,50,18.651827
-10.887987,50,18.77195
-16.037138,50,18.894854
-13.815283,50,19.018494
-12.332469,50,19.131236
-12.017077,50,20.457462
-6.957659,50,20.966481
-19.816991,50,21.475791
-22.663493,50,21.952168
-5.907361,50,22.441274
-16.351735,50,22.930805
-4.162951,50,23.437727
-10.579601,50,23.939893
-8.721103,50,24.464288
-4.669351,50,24.970013
-10.288845,50,25.463289
-6.79099,50,25.935045
-5.373395,50,26.40811
-4.490943,50,27.087303
-1.933665,50,27.738197
-1.958931,50,28.43254
-3.956158,50,29.059623
-2.343499,50,29.760407
-1.375345,50,30.230868
-2.745287,50,30.687341
-5.167172,50,31.162336
-2.053382,50,31.620398
-0.988759,50,32.103267
-2.313529,50,32.565498
-1.481455,50,33.099033
-3.906579,50,33.577848
-1.660831,50,34.056528
-1.849302,50,34.5161
-0.996132,50,34.999537
-3.668009,50,35.462837
-1.074045,50,35.954647
-2.955864,50,36.407117
-1.897023,50,36.865618
-3.184119,50,37.345895
-3.282934,50,37.803457
-1.771608,50,38.282526
-3.384771,50,38.743486
-1.869562,50,39.234532
-4.232016,50,39.701975
-2.357212,50,40.390564
-1.79976,50,41.02267
-2.321909,50,41.681573
-1.593873,50,42.303566
-1.72942,50,42.974638
-1.667338,50,43.452225
-2.068982,50,43.922549
-1.194282,50,44.415483
-0.893655,50,44.879257
-1.040413,50,45.34558
-1.784299,50,45.804068
-3.176711,50,46.277006
-1.365688,50,46.761771
-3.192738,50,47.246322
-2.373951,50,47.730271
-3.473439,50,48.186773
-2.435503,50,48.660628
-1.565448,50,49.125195
-1.603388,50,49.598459
-1.522301,50,50.057541
-0.977725,50,50.534723
-1.434073,50,50.996467
-1.432058,50,51.461972
-1.373418,50,51.945735
-0.979937,50,52.406481
-0.956132,50,52.889101
-1.164058,50,53.552191
-1.253488,50,54.197906
-1.695513,50,54.860255
-1.013997,50,55.497316
-0.903032,50,56.179875
-0.938824,50,56.636577
-1.034102,50,57.108203
-1.041122,50,57.565721
-0.941004,50,58.042861
-0.800444,50,58.501625
-0.839543,50,58.970035
-1.152214,50,59.427962
-1.030177,50,59.89327
-1.303887,50,60.361963
-1.803701,50,60.818446
-1.707535,50,61.30009
-1.125261,50,61.763406
-0.62036,50,62.234748
-1.418867,50,62.692628
-1.276728,50,63.19936
-0.710592,50,63.664638
-1.481302,50,64.159013
-1.549689,50,64.629418
-0.94285,50,65.103963
-0.70693,50,65.557962
-1.391892,50,66.017401
-1.283758,50,66.671769
-0.895808,50,67.315742
-0.822909,50,67.949642
-1.627646,50,68.563737
-1.63501,50,69.242186
-1.49142,50,69.718705
-0.937694,50,70.188049
-1.032056,50,70.664597
-0.958892,50,71.129742
-1.471152,50,71.611677
-1.162999,50,72.087404
-1.428038,50,72.558027
-1.045533,50,73.023607
-1.745795,50,73.48719
-1.36152,50,73.962761
-1.033907,50,74.425867
-1.521079,50,74.904114
-1.142413,50,75.363331
-0.765255,50,75.829757
-0.740222,50,76.286155
-0.996392,50,76.758609
-0.923052,50,77.224878
-1.295125,50,77.698915
-0.961549,50,78.165122
-1.409016,50,78.646006
-1.457097,50,79.114554
-1.020316,50,79.781267
-1.180719,50,80.421515
-1.292312,50,81.08932
-1.16846,50,81.700101
-0.886685,50,82.419471
-1.498245,50,82.909479
-1.013871,50,83.375514
-0.715721,50,83.836188
-0.907174,50,84.331944
-1.362126,50,84.794142
-1.73203,50,85.28055
-1.14183,50,85.745638
-1.695403,50,86.226947
-1.147274,50,86.685054
-1.978308,50,87.161743
-1.018857,50,87.627619
-1.168194,50,88.127401
-1.386949,50,88.603606
-2.117788,50,89.098028
-1.002801,50,89.574724
-1.358111,50,90.050297
-1.190546,50,90.528565
-1.554072,50,91.003124
-0.848032,50,91.489582
-0.956155,50,91.957012
-1.36091,50,92.488701
-0.999504,50,93.162071
-1.192297,50,93.874412
-1.185281,50,94.556185
-0.844855,50,95.194564
-1.261944,50,95.824605
-0.8206,50,96.292351
-1.847088,50,96.763487
-1.364731,50,97.232711
-1.219814,50,97.733419
-0.845625,50,98.211683
-1.071599,50,98.683343
-0.88738,50,99.167268
-2.043382,50,99.644488
-2.429274,50,100.125971
-1.627241,50,100.591528
-1.023973,50,101.077621
-1.038991,50,101.534111
-1.074178,50,102.025916
-1.05508,50,102.485667
-2.313055,50,102.965201
-0.780931,50,103.430594
-1.366816,50,103.917094
-1.477376,50,104.377655
-2.115637,50,104.871773
-1.12533,50,105.330471
-1.716552,50,105.887954
-1.346355,50,106.539891
-1.135689,50,107.203556
-1.311723,50,107.831746
-1.575846,50,108.50631
-1.335703,50,109.106683
-1.230238,50,109.575806
-1.218865,50,110.060498
-0.767967,50,110.532306
-0.992629,50,110.999642
-1.324601,50,111.469977
-1.349916,50,111.94575
-1.331839,50,112.441525
-0.961189,50,112.920895
-1.194713,50,113.393071
-1.328529,50,113.867257
-1.504483,50,114.357629
-2.170178,50,114.836228
-1.113912,50,115.320552
-1.158932,50,115.792924
-1.140491,50,116.284104
-1.097291,50,116.746121
-1.50476,50,117.22153
-0.933981,50,117.698999
-0.911044,50,118.17203
-0.903885,50,118.65163
-1.534537,50,119.307905
-1.818525,50,119.946369
-1.191708,50,120.631998
-0.899003,50,121.261176
-0.528682,50,121.98806
-0.892612,50,122.476769
-0.903781,50,122.96677
-1.464458,50,123.462876
-1.093484,50,123.948717
-1.42415,50,124.418047
-1.387878,50,124.908484
-0.758856,50,125.37174
-1.294243,50,125.845098
-1.10741,50,126.302122
-1.278713,50,126.773322
-1.126461,50,127.236181
-1.167829,50,127.703557
-0.781475,50,128.163517
-0.930765,50,128.628603
-0.915835,50,129.120002
-0.850704,50,129.606981
-1.458008,50,130.093493
-0.889076,50,130.566739
-1.078002,50,131.053319
-0.791863,50,131.517808
-0.969103,50,132.00283
-1.074732,50,132.671277
-1.90125,50,133.330497
-1.199345,50,133.983235
-1.503554,50,134.617147
-1.423103,50,135.274514
-1.288403,50,135.740601
-1.219802,50,136.228774
-1.212543,50,136.682777
-0.770511,50,137.161775
-0.981832,50,137.619132
-0.868052,50,138.080899
-1.265908,50,138.555552
-2.140509,50,139.020168
-1.225616,50,139.489031
-0.732745,50,139.947431
-0.922409,50,140.420459
-0.639088,50,140.886147
-1.337843,50,141.356529
-1.328023,50,141.815487
-1.165232,50,142.288795
-1.977003,50,142.770275
-0.928544,50,143.242656
-1.209247,50,143.714359
-1.473589,50,144.197792
-1.403966,50,144.669522
-1.187071,50,145.133137
-0.745327,50,145.804519
-1.385032,50,146.428646
-1.097831,50,147.071587
-1.006656,50,147.692856
-1.177689,50,148.359214
-1.090838,50,148.852412
-0.95173,50,149.319387
-0.992006,50,149.789185
-0.88212,50,150.258712
-1.458576,50,150.748586
-1.347794,50,151.219512
-0.708434,50,151.699036
