#{"t_start": 1769293906.9893942, "env_id": "FetchReachDense-v4"}
r,l,t
-10.546984,50,1.514272
-9.990298,50,1.626185
-14.130128,50,1.738475
-12.070576,50,1.869701
-6.369194,50,1.981147
-7.342558,50,2.096799
-9.783105,50,2.209228
-12.22676,50,2.325276
-7.735944,50,2.438715
-4.93094,50,2.551744
-8.083126,50,2.666147
-6.461463,50,2.77564
-11.291075,50,2.902693
-20.242656,50,3.010083
-13.610806,50,3.130767
-11.307113,50,3.24191
-17.208952,50,3.350102
-7.900123,50,3.462823
-11.664539,50,3.586799
-15.606825,50,3.700841
-9.960856,50,3.819278
-17.489033,50,3.944424
-7.531595,50,4.060128
-7.955935,50,4.200146
-8.985363,50,4.375218
-12.926011,50,4.557907
-8.78132,50,4.734363
-10.534483,50,4.922765
-13.381718,50,5.106655
-9.468126,50,5.276073
-11.727174,50,5.439425
-9.24133,50,5.620255
-7.36785,50,5.802649
-13.020807,50,5.996011
-6.193457,50,6.170753
-9.553396,50,6.349758
-9.194149,50,6.522332
-4.35819,50,6.694058
-12.285364,50,6.869224
-8.112869,50,7.040542
-18.529616,50,7.231735
-6.970296,50,7.408254
-6.805467,50,7.583449
-8.878518,50,7.75532
-23.945577,50,7.873502
-5.247645,50,7.98489
-13.50317,50,8.104608
-5.659754,50,8.224834
-7.77733,50,8.381969
-14.563025,50,8.510087
-7.568384,50,8.622832
-10.500484,50,8.733846
-10.812908,50,8.84791
-11.093935,50,8.960149
-11.844675,50,9.074657
-11.405542,50,9.199535
-13.863228,50,9.308997
-6.695783,50,9.419331
-9.162142,50,9.535271
-11.28793,50,9.645375
-9.785876,50,9.756609
-10.56104,50,9.875607
-10.595934,50,9.985141
-6.818743,50,10.095866
-8.196579,50,10.22578
-11.56213,50,10.348641
-4.635974,50,10.465365
-16.089148,50,10.572644
-10.3256,50,10.683086
-11.296378,50,10.795538
-10.895303,50,10.910208
-6.362529,50,11.020702
-7.246225,50,11.135754
-13.275448,50,11.265095
-11.510909,50,11.386315
-16.049416,50,11.503875
-14.670916,50,11.612767
-9.911919,50,11.728395
-8.736289,50,11.844961
-18.179283,50,11.953362
-11.109459,50,12.06554
-9.678595,50,12.183821
-10.750053,50,12.307285
-7.429598,50,12.414578
-5.461594,50,12.526763
-11.495266,50,12.639475
-13.048608,50,12.7579
-8.66652,50,12.868318
-11.579961,50,12.975484
-10.247247,50,13.098917
-6.931483,50,13.214901
-7.037445,50,13.34575
-7.204669,50,13.457323
-6.656224,50,13.56956
-13.358706,50,13.684687
-11.719025,50,13.808749
-9.553225,50,13.923345
-11.936204,50,14.034601
-8.102536,50,14.158361
-11.456035,50,14.271347
-14.638506,50,14.980362
-18.160085,50,15.462189
-16.796027,50,15.925776
-16.832717,50,16.421939
-10.017259,50,16.908154
-22.245986,50,17.38239
-11.244097,50,17.953642
-13.328305,50,18.613005
-12.434699,50,19.290131
-7.722402,50,19.951628
-4.491785,50,20.600672
-4.006842,50,21.195811
-6.475524,50,21.660137
-3.370191,50,22.12788
-1.691993,50,22.591391
-2.326715,50,23.064029
-3.355633,50,23.524521
-3.631117,50,23.993438
-2.412833,50,24.452366
-2.543353,50,24.920846
-2.333727,50,25.382563
-2.537523,50,25.86199
-2.366422,50,26.324932
-1.19598,50,26.777005
-2.142737,50,27.273169
-1.385469,50,27.728481
-2.174028,50,28.204037
-2.638865,50,28.695283
-1.592569,50,29.203244
-1.901918,50,29.656189
-1.98053,50,30.135061
-1.826424,50,30.580217
-0.924452,50,31.108397
-1.154354,50,31.744007
-2.370587,50,32.396805
-2.163238,50,33.021309
-1.518283,50,33.65966
-1.328999,50,34.298046
-1.778523,50,34.761827
-1.121706,50,35.235893
-1.055151,50,35.686729
-1.213349,50,36.143209
-1.482232,50,36.617628
-1.114716,50,37.079565
-0.925281,50,37.55088
-1.953643,50,38.009299
-2.341194,50,38.505221
-1.429461,50,38.962699
-1.372139,50,39.436132
-2.036584,50,39.909851
-1.658666,50,40.381406
-1.796987,50,40.845086
-2.753808,50,41.325575
-2.083809,50,41.800673
-2.039477,50,42.273908
-1.830614,50,42.760576
-1.071193,50,43.224987
-1.865648,50,43.689343
-1.637435,50,44.151522
-1.425012,50,44.799347
-1.387576,50,45.440806
-1.054052,50,46.077732
-1.277495,50,46.689276
-2.105406,50,47.369019
-1.285644,50,47.856372
-1.836157,50,48.31011
-2.235288,50,48.77326
-2.364322,50,49.231918
-1.221759,50,49.691651
-1.819057,50,50.176623
-1.381827,50,50.648544
-2.400009,50,51.127713
-2.073909,50,51.586653
-1.959124,50,52.062259
-2.528241,50,52.532429
-2.380798,50,53.011227
-1.847835,50,53.477589
-1.516914,50,53.949339
-2.421999,50,54.410185
-1.382803,50,54.859095
-1.252852,50,55.337769
-2.566903,50,55.820518
-2.185973,50,56.294352
-2.535522,50,56.760358
