#{"t_start": 1769178244.6437068, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,38.724278
-50.0,50,38.932295
-50.0,50,39.144325
-50.0,50,39.361569
-50.0,50,39.587047
-50.0,50,39.799905
-50.0,50,40.009211
-50.0,50,40.219419
-50.0,50,40.437358
-50.0,50,40.648758
-50.0,50,40.858349
-50.0,50,41.067033
-50.0,50,41.276906
-50.0,50,41.487604
-50.0,50,41.695395
-50.0,50,41.903438
-50.0,50,42.11202
-50.0,50,42.319728
-50.0,50,42.53952
-50.0,50,42.745149
-50.0,50,42.948363
-49.0,50,43.155427
-47.0,50,43.36395
-50.0,50,43.570373
-50.0,50,43.777445
-45.0,50,43.98483
-50.0,50,44.189364
-50.0,50,44.40362
-50.0,50,44.611253
-50.0,50,44.825492
-50.0,50,45.034993
-50.0,50,45.25401
-50.0,50,45.467947
-48.0,50,45.681628
-50.0,50,45.89795
-50.0,50,46.111545
-50.0,50,46.320322
-50.0,50,46.534438
-50.0,50,46.763269
-50.0,50,46.986846
-50.0,50,47.21239
-50.0,50,47.443866
-50.0,50,47.66426
-50.0,50,47.877415
-50.0,50,48.087097
-50.0,50,48.298693
-50.0,50,48.506591
-50.0,50,48.709274
-50.0,50,48.917267
-50.0,50,49.12544
-50.0,50,49.329985
-50.0,50,49.533203
-50.0,50,49.740928
-50.0,50,49.950749
-50.0,50,50.156285
-50.0,50,50.363784
-45.0,50,50.573007
-50.0,50,50.780263
-50.0,50,50.989364
-50.0,50,51.19782
-50.0,50,51.40583
-50.0,50,51.611309
-50.0,50,51.826612
-50.0,50,52.033121
-50.0,50,52.239367
-48.0,50,52.450573
-50.0,50,52.657376
-50.0,50,52.866347
-50.0,50,53.071867
-50.0,50,53.283526
-50.0,50,53.489502
-50.0,50,53.697135
-50.0,50,53.904972
-50.0,50,54.113023
-50.0,50,54.319358
-50.0,50,54.524247
-50.0,50,54.731872
-50.0,50,54.942746
-50.0,50,55.145298
-50.0,50,55.351161
-50.0,50,55.557161
-50.0,50,55.764554
-50.0,50,55.972036
-50.0,50,56.182766
-50.0,50,56.391129
-50.0,50,56.601863
-50.0,50,56.816578
-42.0,50,57.02546
-50.0,50,57.232242
-50.0,50,57.43373
-50.0,50,57.641318
-48.0,50,57.855247
-50.0,50,58.063953
-50.0,50,58.271174
-50.0,50,58.481135
-50.0,50,58.686196
-49.0,50,58.894537
-50.0,50,59.104344
-50.0,50,59.310847
-50.0,50,59.517201
-50.0,50,59.726035
-50.0,50,59.92935
-48.0,50,60.135205
-50.0,50,60.359606
-50.0,50,60.567749
-50.0,50,60.776721
-49.0,50,60.985992
-50.0,50,61.192883
-37.0,50,61.405432
-49.0,50,61.624628
-50.0,50,61.84471
-50.0,50,62.080319
-49.0,50,62.289083
-50.0,50,62.506771
-50.0,50,62.720316
-50.0,50,62.939279
-50.0,50,63.156968
-50.0,50,63.381963
-50.0,50,63.606462
-50.0,50,63.817638
-48.0,50,64.026633
-50.0,50,64.237095
-50.0,50,64.444435
-50.0,50,64.653617
-50.0,50,64.861828
-50.0,50,65.07214
-49.0,50,65.279834
-50.0,50,65.491887
-48.0,50,65.705676
-49.0,50,65.913509
-50.0,50,66.119142
-49.0,50,66.326408
-50.0,50,66.533907
-50.0,50,66.740957
-50.0,50,66.94647
-50.0,50,67.15152
-50.0,50,67.355935
-50.0,50,67.560931
-50.0,50,67.7646
-50.0,50,67.971884
-50.0,50,68.183946
-50.0,50,68.388853
