#{"t_start": 1769294013.5363076, "env_id": "FetchReachDense-v4"}
r,l,t
-10.546984,50,1.479332
-9.990298,50,1.608732
-14.130128,50,1.726178
-12.070576,50,1.848544
-6.369194,50,1.959874
-7.342558,50,2.070623
-9.783105,50,2.181303
-12.22676,50,2.298995
-7.735944,50,2.415006
-4.93094,50,2.532679
-8.083126,50,2.659306
-6.461463,50,2.775177
-11.291075,50,2.887633
-20.242656,50,2.999383
-13.610806,50,3.111273
-11.307113,50,3.224501
-17.208952,50,3.336976
-7.900123,50,3.44683
-11.664539,50,3.606462
-15.606825,50,3.79201
-9.960856,50,3.969054
-17.489033,50,4.144984
-7.531595,50,4.326354
