#{"t_start": 1769181951.8900201, "env_id": "FetchReach-v4"}
r,l,t
-50.0,50,38.88099
-50.0,50,39.116514
-50.0,50,39.333394
-50.0,50,39.549707
-50.0,50,39.764716
-50.0,50,39.982709
-50.0,50,40.198371
-50.0,50,40.414669
-50.0,50,40.631568
-50.0,50,40.850311
-50.0,50,41.067577
-50.0,50,41.284904
-50.0,50,41.50177
-50.0,50,41.720221
-47.0,50,41.937163
-50.0,50,42.15346
-50.0,50,42.369558
-50.0,50,42.58996
-50.0,50,42.807376
-49.0,50,43.023425
-50.0,50,43.238377
-50.0,50,43.460253
-50.0,50,43.675199
-50.0,50,43.886651
-50.0,50,44.09911
-50.0,50,44.317402
-49.0,50,44.533335
-48.0,50,44.748613
-45.0,50,44.962826
-50.0,50,45.176309
-50.0,50,45.393197
-50.0,50,45.604067
-50.0,50,45.815056
-41.0,50,46.032337
-50.0,50,46.251175
-50.0,50,46.468297
-50.0,50,46.681912
-50.0,50,46.894914
-50.0,50,47.105076
-50.0,50,47.3193
-50.0,50,47.529635
-36.0,50,47.751838
-46.0,50,47.969233
-50.0,50,48.186511
-50.0,50,48.404071
-23.0,50,48.619924
-26.0,50,48.835165
-50.0,50,49.049552
-50.0,50,49.264667
-48.0,50,49.485883
-50.0,50,49.703705
-50.0,50,49.920623
-50.0,50,50.132122
-50.0,50,50.344411
-48.0,50,50.560082
-50.0,50,50.77671
-50.0,50,50.994114
-50.0,50,51.211351
-38.0,50,51.422656
-47.0,50,51.637655
-48.0,50,51.853139
-50.0,50,52.069344
-50.0,50,52.286847
-31.0,50,52.499348
-50.0,50,52.716918
-50.0,50,52.931853
-50.0,50,53.149099
-7.0,50,53.360613
-50.0,50,53.574879
-32.0,50,53.791228
-50.0,50,54.003861
-47.0,50,54.217328
-41.0,50,54.434554
-50.0,50,54.654382
-42.0,50,54.872399
-34.0,50,55.0828
-50.0,50,55.29615
-50.0,50,55.511233
-50.0,50,55.72783
-50.0,50,55.942625
-30.0,50,56.157113
-50.0,50,56.373584
-50.0,50,56.588912
-50.0,50,56.798934
-29.0,50,57.008706
-34.0,50,57.22714
-39.0,50,57.437518
-39.0,50,57.648781
-26.0,50,57.860757
-8.0,50,58.072874
-37.0,50,58.287021
0.0,50,58.49891
-23.0,50,58.711564
-33.0,50,58.928044
-24.0,50,59.14091
-24.0,50,59.353441
-11.0,50,59.565308
-28.0,50,59.778264
-40.0,50,60.004182
-28.0,50,60.218613
-50.0,50,60.431399
-34.0,50,60.646266
-43.0,50,60.857998
-50.0,50,61.070292
-50.0,50,61.283892
-50.0,50,61.496601
-50.0,50,61.710289
-50.0,50,61.920577
-50.0,50,62.133894
-50.0,50,62.345496
-50.0,50,62.557924
-45.0,50,62.769633
-41.0,50,62.98138
-50.0,50,63.197576
-50.0,50,63.407802
-45.0,50,63.617378
-50.0,50,63.82688
-50.0,50,64.04298
-50.0,50,64.253448
-50.0,50,64.463915
-48.0,50,64.674753
-50.0,50,64.887604
-45.0,50,65.100095
-40.0,50,65.314808
-50.0,50,65.525572
-50.0,50,65.737307
-50.0,50,65.950564
-50.0,50,66.165081
-50.0,50,66.375487
-21.0,50,66.591181
-33.0,50,66.802204
-38.0,50,67.013973
-50.0,50,67.225602
-50.0,50,67.441172
-45.0,50,67.651915
-50.0,50,67.864583
-50.0,50,68.076618
-18.0,50,68.291207
-50.0,50,68.503107
-13.0,50,68.717652
-46.0,50,68.927973
-50.0,50,69.142831
-22.0,50,69.35754
-37.0,50,69.568801
-50.0,50,69.779524
-7.0,50,69.996461
-40.0,50,70.207023
-50.0,50,70.420578
-49.0,50,70.631532
-50.0,50,70.842285
-50.0,50,71.051943
-50.0,50,71.262015
-50.0,50,71.472077
-44.0,50,71.687574
-50.0,50,71.897996
-24.0,50,72.108857
-7.0,50,72.324836
-16.0,50,72.537338
-17.0,50,72.748246
-9.0,50,72.958841
-26.0,50,73.168627
-50.0,50,73.381588
-16.0,50,73.593461
-5.0,50,73.810224
-42.0,50,74.019291
-1.0,50,74.235327
-42.0,50,74.446488
-13.0,50,74.657895
-50.0,50,74.869817
-50.0,50,75.082228
-31.0,50,75.293359
-4.0,50,75.50554
-50.0,50,75.715667
-2.0,50,75.927564
-50.0,50,76.138178
-44.0,50,76.356516
-10.0,50,76.569322
-50.0,50,76.782746
-50.0,50,76.994378
-35.0,50,77.211612
-50.0,50,77.423605
-50.0,50,77.635866
-17.0,50,77.847547
-50.0,50,78.059129
-19.0,50,78.269993
-22.0,50,78.489206
-25.0,50,78.703001
0.0,50,78.914623
-50.0,50,79.125618
-34.0,50,79.340837
-33.0,50,79.552461
-32.0,50,79.763967
-50.0,50,79.976862
-50.0,50,80.195374
-39.0,50,80.407762
-50.0,50,80.620052
-50.0,50,80.830949
-40.0,50,81.044819
-50.0,50,81.256304
-17.0,50,81.483931
-35.0,50,81.695868
-16.0,50,81.91159
-50.0,50,82.124747
-14.0,50,82.335747
-27.0,50,82.547582
-50.0,50,82.766835
-42.0,50,82.978004
-16.0,50,83.190416
-28.0,50,83.402073
-50.0,50,83.621465
-27.0,50,83.834242
-36.0,50,84.045911
-50.0,50,84.257695
-50.0,50,84.470941
-50.0,50,84.6829
-50.0,50,84.894333
-27.0,50,85.107817
-31.0,50,85.326255
-50.0,50,85.544044
-50.0,50,85.75591
-41.0,50,85.96771
-50.0,50,86.18074
-24.0,50,86.396793
-29.0,50,86.610142
-3.0,50,86.820425
-12.0,50,87.03421
-37.0,50,87.245302
-21.0,50,87.45708
-46.0,50,87.669138
-14.0,50,87.882068
-32.0,50,88.093353
-50.0,50,88.308855
0.0,50,88.520946
-1.0,50,88.734689
-9.0,50,88.950726
-50.0,50,89.162078
-12.0,50,89.373339
-17.0,50,89.775241
-32.0,50,89.988709
-40.0,50,90.199736
-50.0,50,90.41021
-36.0,50,90.626968
-29.0,50,90.844364
-50.0,50,91.059119
-50.0,50,91.271925
-32.0,50,91.487081
-11.0,50,91.699989
-42.0,50,91.911609
-11.0,50,92.127805
-35.0,50,92.34178
-50.0,50,92.55482
-50.0,50,92.76768
-44.0,50,92.97873
-50.0,50,93.198662
-50.0,50,93.415818
-14.0,50,93.629973
-37.0,50,93.843323
-3.0,50,94.065919
-4.0,50,94.283713
-28.0,50,94.496038
-27.0,50,94.708022
-9.0,50,94.922591
-50.0,50,95.141245
-8.0,50,95.353425
-11.0,50,95.564889
-36.0,50,95.783949
-8.0,50,95.995908
-42.0,50,96.210156
-40.0,50,96.422352
-50.0,50,96.644069
-41.0,50,96.859197
-18.0,50,97.070744
-5.0,50,97.284533
-50.0,50,97.501222
-19.0,50,97.713152
-6.0,50,97.930654
-50.0,50,98.142535
-48.0,50,98.355821
0.0,50,98.568467
-14.0,50,98.782527
-33.0,50,98.99377
-24.0,50,99.215176
-18.0,50,99.428195
-11.0,50,99.641835
-5.0,50,99.853354
-8.0,50,100.068258
-23.0,50,100.284359
-31.0,50,100.49775
-36.0,50,100.71497
-21.0,50,100.930794
-36.0,50,101.144001
-3.0,50,101.358038
-28.0,50,101.574268
-50.0,50,101.80369
-8.0,50,102.016881
-31.0,50,102.228188
-14.0,50,102.443866
-2.0,50,102.658339
-36.0,50,102.870881
-1.0,50,103.081718
-24.0,50,103.294057
-2.0,50,103.507679
-20.0,50,103.719776
-7.0,50,103.932264
-21.0,50,104.144637
-35.0,50,104.361322
0.0,50,104.574486
-3.0,50,104.787171
-28.0,50,105.003689
-1.0,50,105.21902
-14.0,50,105.44272
-3.0,50,105.665263
-11.0,50,105.885577
-12.0,50,106.11304
-14.0,50,106.327359
-8.0,50,106.546608
-18.0,50,106.761677
0.0,50,106.982551
-16.0,50,107.199312
-4.0,50,107.423888
-18.0,50,107.644748
-25.0,50,107.865277
-3.0,50,108.093038
-50.0,50,108.31474
-7.0,50,108.540946
-50.0,50,108.759111
-38.0,50,108.979888
-28.0,50,109.215454
-22.0,50,109.443132
-6.0,50,109.663451
-31.0,50,109.879152
-24.0,50,110.092018
-33.0,50,110.304519
-19.0,50,110.52672
-24.0,50,110.739698
-31.0,50,110.95151
-50.0,50,111.163285
-15.0,50,111.378599
-36.0,50,111.590459
-12.0,50,111.803858
-21.0,50,112.015135
-28.0,50,112.232489
-8.0,50,112.446115
-30.0,50,112.660134
-20.0,50,112.869949
-31.0,50,113.088679
-12.0,50,113.301299
-11.0,50,113.515647
-5.0,50,113.732424
-2.0,50,113.945482
0.0,50,114.158978
-5.0,50,114.371106
-1.0,50,114.583171
-3.0,50,114.795864
-26.0,50,115.010087
-2.0,50,115.223466
-10.0,50,115.435144
-22.0,50,115.649674
-1.0,50,115.862698
-21.0,50,116.079088
-4.0,50,116.290339
0.0,50,116.50438
-28.0,50,116.716126
-17.0,50,116.92858
-4.0,50,117.139963
-25.0,50,117.354088
-28.0,50,117.568333
-3.0,50,117.781806
-2.0,50,117.994375
-2.0,50,118.212357
-2.0,50,118.426792
-3.0,50,118.644041
-2.0,50,118.857214
-1.0,50,119.07094
-4.0,50,119.283954
-4.0,50,119.495652
-3.0,50,119.707413
-1.0,50,119.921086
-2.0,50,120.133292
-5.0,50,120.345606
-3.0,50,120.562278
0.0,50,120.775313
-3.0,50,120.987334
-1.0,50,121.199027
-2.0,50,121.4114
-3.0,50,121.625412
-3.0,50,121.83724
-7.0,50,122.049266
-7.0,50,122.261344
-3.0,50,122.477265
-1.0,50,122.69017
-2.0,50,122.903427
-17.0,50,123.117946
-3.0,50,123.337698
-2.0,50,123.550536
-4.0,50,123.767309
-4.0,50,123.978812
-2.0,50,124.192694
-4.0,50,124.407592
-2.0,50,124.620104
-3.0,50,124.832501
-2.0,50,125.045113
-3.0,50,125.26022
-2.0,50,125.472127
-1.0,50,125.684996
-3.0,50,125.902375
-1.0,50,126.114594
-1.0,50,126.324728
-3.0,50,126.557688
-1.0,50,126.778128
-3.0,50,127.001178
-2.0,50,127.218671
-2.0,50,127.435293
-3.0,50,127.653223
-2.0,50,127.86724
-2.0,50,128.081729
-2.0,50,128.294595
-2.0,50,128.517197
-2.0,50,128.731507
-1.0,50,128.944696
-2.0,50,129.163132
-2.0,50,129.378688
-3.0,50,129.598771
-2.0,50,129.811845
-3.0,50,130.026852
0.0,50,130.243441
-3.0,50,130.463329
0.0,50,130.676995
-2.0,50,130.889704
-1.0,50,131.111748
-1.0,50,131.328168
-3.0,50,131.540935
-2.0,50,131.753243
-3.0,50,131.965469
-1.0,50,132.180301
-2.0,50,132.396336
-2.0,50,132.608219
-3.0,50,132.827368
-1.0,50,133.038795
-2.0,50,133.251476
-2.0,50,133.463368
-3.0,50,133.680444
-1.0,50,133.893161
-3.0,50,134.102859
-2.0,50,134.31634
-1.0,50,134.528361
-2.0,50,134.740032
0.0,50,134.952854
-3.0,50,135.17001
-1.0,50,135.383385
-3.0,50,135.596357
-2.0,50,135.807833
-2.0,50,136.01978
-2.0,50,136.23442
-2.0,50,136.445288
-3.0,50,136.655457
-2.0,50,136.866145
-1.0,50,137.079267
-1.0,50,137.290789
-2.0,50,137.503007
-2.0,50,137.714126
-2.0,50,137.92692
-2.0,50,138.137514
-2.0,50,138.353661
-1.0,50,138.567223
-2.0,50,138.781555
-1.0,50,138.994247
-2.0,50,139.206198
-1.0,50,139.417153
-3.0,50,139.632457
-2.0,50,139.844211
-2.0,50,140.060796
-2.0,50,140.271504
-2.0,50,140.488336
-3.0,50,140.707366
0.0,50,140.918683
-3.0,50,141.133738
-2.0,50,141.354693
-1.0,50,141.566756
-2.0,50,141.777857
-2.0,50,141.990586
-1.0,50,142.203859
0.0,50,142.414567
0.0,50,142.625236
-1.0,50,142.836366
-2.0,50,143.047666
0.0,50,143.260272
-1.0,50,143.471835
-1.0,50,143.682785
-2.0,50,143.896686
-1.0,50,144.108885
-1.0,50,144.31974
-3.0,50,144.532353
-2.0,50,144.745382
-1.0,50,144.956468
-2.0,50,145.168125
-3.0,50,145.378189
-2.0,50,145.591039
-2.0,50,145.80271
-1.0,50,146.014337
-3.0,50,146.228939
-3.0,50,146.44277
0.0,50,146.654607
-2.0,50,146.866413
-2.0,50,147.078926
-2.0,50,147.2969
-3.0,50,147.523466
-1.0,50,147.739758
-2.0,50,147.952141
-2.0,50,148.166588
-3.0,50,148.37892
-3.0,50,148.598085
0.0,50,148.811349
